speaker_id,slide_id,question_id,problem_id,text
MZ,,,,"Ok, nagrywa się znaczy transkrybuje."
MZ,,,,Tak dobra.
MZ,,,,To teraz włącz nagranie.
MZ,,,,Dobrze.
MZ,,,,To możemy zminimalizować i zapraszam panią teraz tutaj.
MZ,,,,Jeszcze włączę nam ten dyktafon.
MZ,,,,Rozpocznij.
MZ,,,,Tak gdzieś z tej strony?
MZ,,,,"Pani będzie obsługiwać ten komputer. Proszę sobie ustawić, jak będzie pani wygodniej, mysz i wszystko. No tam jest woda dla pani i tak."
MZ,,,,Czy ma pani jakieś pytania teraz?
MZ_SSH_07,,,,Nie.
MZ,,,,Będziemy stosować 2 rodzaje materiałów w tej technice.
MZ,,,,Pierwsza to będzie prezentacja powerpointa.
MZ,,,,"To jest testowa, tylko żeby pani zobaczyła, co można zrobić później z tą właściwą."
MZ,,,,"I teraz tak będzie mogła pani przeglądać, układać te slajdy w kolejności, w której pani uzna za najbardziej."
MZ,,,,Przydatnej dla pani.
MZ,,,,"No i na pewno pani umie obsługiwać powerpointa, ale tak pro forma, jakby mogła pani przedstawić nam jakieś slajdy?"
MZ_SSH_07,,,,Jakoś po prostu zmienić kolejność ich? Tak.
MZ,,,,Dobra.
MZ,,,,I tak będzie mogła pani zmienić kolejność.
MZ,,,,"Będzie mogła pani dodać slajd, jeśli uzna, że czegoś brakuje w tej właściwej później prezentacji."
MZ,,,,Poproszę o dodanie slajdu.
MZ,,,,"Właśnie to, to jest ok, i może pani albo tutaj opisałaś w polu tekstowym, co by chciała pani dodać na tym nowym slajdzie albo narysować. No no zależy co będzie miała pani, jaki będzie miała pani pomysł. Albo tam na dole jest pole notatek."
MZ,,,,"Tak tutaj też może pani pisać, jeśli nie będzie pani tam na slajdzie."
MZ,,,,I co jeszcze jeszcze?
MZ,,,,"O K jeśli uzna pani, że jakiś materiał w tej właściwej prezentacji jest całkowicie niepotrzebny."
MZ,,,,Taki którego.
MZ,,,,"Nie wyobraża sobie pani, w jaki sposób można by było łatwo poprawić."
MZ,,,,"Taki bezużyteczny, zbędny i tak dalej, jak to nazwiemy. W każdym razie nie przydaje się pani."
MZ,,,,"To proszę go przenieść na koniec prezentacji za czarny slajd. No i załóżmy, że kot pani zdaniem jest całkowicie niepotrzebny tu i proszę go przenieść na koniec."
MZ,,,,"Super, czyli tak najpierw będą pytania do właściwej prezentacji. Później będzie mogła pani poukładać slajdy w takiej kolejności, w której uzna za najbardziej przydatne dla siebie."
MZ,,,,"Będzie mogła pani dodać jakieś materiały i jeśli czegoś brakuje, a jeśli coś uzna pani, że jest niepotrzebne, nieprzydatne, nie da się tego w łatwy sposób poprawić, za czarny slajd, jak przyjdziemy do tego, to ja jeszcze pani przypomnę, o co tu chodzi."
MZ,,,,2 rodzaj materiałów to będą pytania.
MZ,,,,Cały czas aktualny pytanie.
MZ,,,,"Ja oczywiście będę czytać pani na początku, ale to aktualne pytanie będzie przed panią cały czas, żebym mogła pani zerknąć, przypomnieć sobie, o co chodziło."
MZ,,,,"Ok, a teraz ta technika think aloud protocol."
MZ,,,,"Jak sygnalizowałam głośne mówienie, co pani, znaczy, głośne myślenie, co pani widzi, robi, myśli, czuje, co się pani podoba? Co się pani nie podoba? Odczytam pani taki fragment, który tutaj mam przygotowany a propos tego badania."
MZ,,,,"Proszę sobie wyobrazić, mamy taką sytuację. Korzysta Pani z aplikacji, która ułatwia odróżnianie grzybów jadalnych od niejadalnych lub trujących?"
MZ,,,,I podpowiedzi tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję zbioru danych o grzybach.
MZ,,,,"Zaraz zobaczy pani kilka wizualizacji infografik, które objaśniają sposób działania tego modelu sztucznej inteligencji."
MZ,,,,No i będę panią prosić o zinterpretowanie i ocenę użyteczności tych objaśnień dla pani z pani punktu widzenia.
MZ,,,,"W trakcie odpowiadania proszę o głośne mówienie, co pani widzi myśli i czuje, co się pani podoba? Coś pani nie podoba, jeśli pani czegoś nie rozumie, to też żeby pani nam to zasygnalizowała tego typu rzeczy."
MZ,,,,I.
MZ,,,,Łatwiej to jest.
MZ,,,,"Jedna rzecz to jest opowiedzieć a 2 to jest posłuchać sobie przykładu takiej werbalizacji, więc puszczę pani krótki przykład z tej techniki."
MZ,,,,"Tylko dotyczący badania serwisu, żeby tutaj nic nie sugerować."
MZ,,,,No i to jest oczywiście przykład.
MZ,,,,"Ale może da jakieś takie lepszy wyobrażenia, co tutaj chodzi, pani."
MZ,,,,"Czyli Jestem na stronie Polconu Konwentów, który odbył się w Warszawie i chciałabym zobaczyć sobie program i i zarejestrować się."
MZ,,,,A więc w menu głównym?
MZ,,,,"Najeżdżam na program, rozwija mi się."
MZ,,,,No i mam bloki programowe.
MZ,,,,Klikam.
