speaker_id,slide_id,question_id,problem_id,text
PK,__S00__,,,"Rozpoczynamy kolejne badanie techniką Think Aloud Protocol z ekspertem w dziedzinie mykologii, któremu najserdeczniej dziękujemy za zgodę na udział w badaniu. Informuję, że że uczestnik wyraził zgody wymagane w badaniu. W związku z tym rozpoczęliśmy nagranie. Czy pan potwierdza wyrażenie uprzednie zgody na nagrywanie?"
PK_DE_02,,,,Tak.
PK,,,," Bardzo dziękuję. Raportuję również, że pan został powiadomiony o sposobie prowadzenia badania. Odsłuchał próbne nagranie Think Aloud Protocol i w tej chwili jesteśmy gotowi do rozpoczęcia."
PK_DE_02,,,,Tak jest.
PK,,,," Jesteśmy zatem na samym początku prezentacji. Bardzo proszę o zapoznanie się z treścią tego slajdu. Jeżeli cokolwiek pana tutaj zaciekawia, miałby pan jakieś przemyślenia albo pytania, bardzo proszę swobodnie je wyrażać. Ja jeszcze tylko powiem rzecz bardzo istotną, a mianowicie, że celem tego badania w żadnym razie nie jest ocena poziomu jakichkolwiek pana kompetencji czy umiejętności lub wiedzy. Absolutnie, w żadnym wypadku, będziemy tylko badać pana reakcję wielorakie na treść tej prezentacji badawczej i bardzo nam zależy"
PK_DE_02,,,,"na jak najobfitszym relacjonowaniu przez pana wszystkich swoich przemyśleń, emocji, spostrzeżeń. Natomiast raz jeszcze z mocą podkreślę, że nie ma złych ani dobrych odpowiedzi, bo nie badamy w żadnym wypadku jakichkolwiek pana właściwości osobowych ani kompetencji tym bardziej."
PK_DE_02,__S1__,,,Zapoznałem się z celem.
PK,,,, Możemy przejść do slajdu 2?
PK_DE_02,,,,"Tak, możemy przejść."
PK,,,, Bardzo proszę.
PK_DE_02,__S2__,,,"Czyli ten wyjściowy zbiór, którym się zajmujemy, on został kiedyś przygotowany i on jest aktualizowany, rozszerzany."
PK,,,, Nie jest.
PK_DE_02,,,,Rozumiem.
PK,,,," Nie jest. Na pana sygnał ja będę zmieniać slajdy u siebie tak, żebyśmy byli synchronizowanie zawsze."
PK_DE_02,,,,Mogę przejść do 3 strony?
PK,,,, Jasne.
PK_DE_02,__S3__,,,Czyli tutaj badaniu podlegać będzie tylko część grzybów z hymenoforem blaszkowym.
PK,,,," Tak. 173 gatunki, ponad 61000 owocników, to są te rekordy w bazie, o nich dane zostały zebrane i rzeczywiście wspólną cechą wszystkich tych owocników jest trzon i hymenofor blaszkowy."
PK_DE_02,__S3__,,,Rozumiem.
PK,,,," Jak Pan się zapatruje na… jakie pan ma odczucia i przemyślenia ewentualne na tym etapie, po zapoznaniu się z pierwszym materiałem?"
PK_DE_02,__S3__,,,"Znaczy, powiem tak, ja tutaj muszę zaznaczyć, że tematy baz danych nie są mi obce. O, tak, tak powiem. 61000 owocników. No to jest bardzo duża ilość."
PK,,,, Jasne.
PK_DE_02,__S3__,,,"Znacznie wykracza poza zbiór europejski grzybów. No, natomiast rozsądne jest zakwalifikowanie grzybów o wątpliwej jadalności jako niejadalne. Bo duża część grzybów jest, jeżeli chodzi o ich wartości przydatności do spożycia, są niezbadane, zdecydowana większość."
PK,,,, Jasne.
PK_DE_02,__S3__,,,"Większość grzybków z rodzaju cortinarius, szeroko pojętej grupy cortinarius, jest, no niezbadana pod kątem przydatności do jedzenia."
PK,,,, Czyli z takim podejściem klasyfikacyjnym by pan się zgadzał?
PK_DE_02,__S3__,,,"Mógłbym go przyjąć. O, tak, tak, tak powiem."
PK,,,," Rozumiem, rozumiem, jest to akceptowalne. Do czwórki?"
PK_DE_02,,,,To przejdźmy do czwórki.
PK,,,," Do czwórki. I czwórka to już jest slajd, do którego mamy pytania. Ja informuję w ramach protokołu badawczego, że nasz respondent otrzymał zawczasu pytania, z którymi się nie zapoznawał i dopiero tuż przed naszym spotkaniem dla własnej wygody je wydrukował."
PK_DE_02,,,,Tak.
