speaker_id,slide_id,question_id,problem_id,text
MK,,,,"No to w takim razie zaczynamy. Witam panią serdecznie. W naszych badaniach sprawdzamy użyteczność i zrozumiałość modelu predykcyjnego, który stworzony został przez sztuczną inteligencję, czyli absolutnie nie ma badamy ani pani umiejętności, ani pani kompetencji. Chcemy tylko sprawdzić, czy to, co jest przygotowane i to, co zostało wygenerowane jako forma wizualizacji, infografiki jest dla pani absolutnie zrozumiałe."
MK,,,,"To znaczy, że nie musi się pani spieszyć, jeśli pani będzie chciała mieć przerwę, absolutnie możemy tą przerwę mieć. Tu jest woda i kubek. Gdyby pani chciała przerwać w dowolnej chwili to badanie to też jest taka możliwość, czyli nic na siłę. Będziemy korzystać z narzędzia think aloud protocol, to jest takie narzędzie, które pozwala podczas nagrywania i podczas interakcji użytkownika z produktem, usługą, systemem rozpoznać, co tak naprawdę użytkownik myśli i czuje, dlatego, będę panią prosiła o głośne komentowanie wszystkiego, co pani widzi, z czym ma do czynienia, jak się pani czuje z tym, czy się pani to podoba, czy się nie podoba, co jest niewłaściwe, co jest poprawne. Wszystko to, co przychodzi pani do głowy, na myśl chcemy usłyszeć to pani. I żeby pokazać mniej więcej jak to wygląda mam tutaj takie przykładowe nagranie z badania."
MK,,,,"Tu mamy też przykład czegoś, co pani będzie mogła zrobić podczas korzystania z prezentacji. Po pierwsze, tu będzie można notować wszystko, co pani będzie uważała za bardzo istotne. Poza tym to jest czarny slajd, który oznacza koniec, jeśli cokolwiek będzie niepoprawne, będzie pani uważała, że jest zbędne będzie można przesunąć to na koniec, bo ja poproszę panią na koniec właśnie o taką próbę uszeregowania tych materiałów w taki sposób, żeby dla pani były jak najbardziej użyteczne i poprawne, tak jak pani sądzi. Będzie można dodawać różne materiały, przesuwać je, przesuwać kolejność, więc tutaj tak to będzie wyglądało. Nie wiem, czy Pani chce popróbować, poprzesuwać, ale myślę, że miała pani do czynienia."
MK,,,,"I teraz tak ja za chwilę otworzę właściwą prezentację i tutaj będą pytania do poszczególnych slajdów. Będę panią prosiła o próbę odpowiedzi na te wszystkie pytania, które tutaj zostały przygotowane właśnie do tych infografik do tych wizualizacji."
MK,,,,"Tak jak wspominałam, absolutnie nie badamy pani kompetencji ani umiejętności, tylko chcemy zobaczyć właśnie czy jest to użyteczne. Badamy użyteczność XAI właśnie za pomocą think aloud protocol, żeby zobaczyć czy model jest w jakikolwiek sposób użyteczny zrozumiały dla użytkowników i teraz załóżmy sobie taką sytuację. Ja już za chwileczkę otworzę tą prezentację powiem co i jak."
MK,,,,"Korzysta Pani z aplikacji, która ułatwia odróżnianie grzybów jadalnych od niejadalnych trujących, czyli wracamy do tej ankiety. Podpowiedzi tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję zbioru danych o grzybach i teraz w tej prezentacji zobaczy pani kilka infografik, które objaśniają sposób działania tego modelu sztucznej inteligencji i będę Panią prosiła właśnie o interpretację oceny użyteczności właśnie tych objaśnień. Będę prosiła o głośne mówienie, komentowanie, co pani widzi, co pani myśli, co pani czuje, czy się pani podoba czy nie podoba i będę wdzięczna za jak najbardziej szczere odpowiedzi, bo na tym nam bardzo, bardzo zależy także. Myślę, że możemy rozpocząć. Może się pani powolutku zapoznawać z tym materiałem i będę panią prosiła o odpowiedzi do tych pytań związanych z wizualizacjami. Od teraz zaczyna pani wszystko Błaszczak komentował."
MK,__S00__,,,"Rozumiem, że pani teraz dla zapoznaje się z tymi materiałami. Czy to jest zrozumiałe?"
MK_IT_06,,,,Właśnie to będzie chyba trochę nienaturalne. Tak jest z tym jest zrozumiały.
MK_IT_06,__S1__,,,"Normalny wstęp w każdej pracy. Trochę o niczym, żeby nie było za skomplikowanie dla czytelnika."
MK,,,,"Czyli mamy rzeczywistą bazę, na podstawie tej bazy powstał sztucznej inteligencji, który przekształcił ją w model predykcyjny."
MK_IT_06,,,,"To jedynie to ciekawości, byłaby, że informacja skąd te grzyby są? Czy to jest zestaw grzybów, które występują tylko w Polsce? Czy jeszcze właśnie to jak to jest w Kalifornii, to czy właśnie w Ameryce?"
MK_IT_06,__S4__,,,"Przechodzę już do pierwszego zestawu wykresów. Na początek to trochę za małe. Są to wykresy, trochę jest nieczytelnie, jeśli chodzi o wielkość czcionki."
MK_IT_06,,,,"Tutaj wydaje mi się, że to są takie podstawowe wykresy. Tutaj nie ma raczej nic niezrozumiałego. Po prostu opis ile jakich grzybów rozmawiasz łowcach skład tych badanych."
