speaker_id,slide_id,question_id,problem_id,text
MW,,,,"Będziemy pracować taką metodą, która nazywa się think-aloud. Ona polega z grubsza na tym, że będę pana zachęcać do tego, żeby pan werbalizował, czyli mówił na głos o wszystkich swoich doświadczeniach, czynnościach, które pan będzie wykonywał w trakcie oglądania materiałów, które za chwilkę tutaj zaprezentuję."
MW_SSH_05,,,,"To będzie dość proste, bo już jestem (anonimizacja), więc mam doświadczenie w tym."
MW,,,,"Tak, doświadczony użytkownik badań, bardzo doceniamy. [wstęp do badania] Będziemy pracować na materiałach takich jak prezentacja multimedialna, taka standardowa w PowerPointcie i czy z taką prezentacją miał pan kiedyś do czynienia, potrafił pan edytować? Muszę zapytać dla protokołu."
MW_SSH_05,,,,Nieraz.
MW,,,,"Nieraz, czyli rozumiem, że dodawanie, odejmowanie slajdów, jakieś komentarze na slajdach, to są czynności, które pan potrafiłby wykonać."
MW_SSH_05,,,,"Do komentarzy muszę się zastanowić, bo nie jestem do końca powiem, ale…"
MW,,,,"To możemy sobie wejść teraz do tego folderu, który jest w prawym górnym rogu i nazywa się test. To jest ten drugi od góry. I tu jest taka prezentacja przykładowa, multimedialna. Można ją sobie otworzyć. I właśnie popróbować takich różnych opcji. Jakby pan chciał do któregoś slajdu dodać komentarz."
MW_SSH_05,,,,A (ns - 00:02:21).
MW,,,,Będziemy wiedzieć. Czyli prezentację można sobie zamknąć.
MW_SSH_05,,,,"Nigdy nie używałem komentarzy, nie próbowałem samemu."
MW,,,,"Drugi plik, który tutaj jest w folderze, to jest taki plik, który pokazuje, na czym polega ta metoda think-aloud. Można sobie kawałeczek odtworzyć, tak żeby pan widział jak taka sesja mniej więcej wygląda."
MW_SSH_05,,,,[odtwarzanie nagrania]
MW,,,,"Wiemy, o co chodzi, prawda?"
MW_SSH_05,,,,Tak.
MW,__S00__,,,"Super. Czyli ten folder testowy możemy sobie zamknąć. I teraz prosiłabym pana o wejście do tego folderu właśnie badanie. I tu nas interesuje przede wszystkim ten trzeci plik, czyli prezentacja multimedialna. To jest ten plik nasz właściwy, na którym będziemy sobie działać. Można tutaj włączyć tą opcję takiego edytowania, gdyby nam była potrzebna, czyli na żółtym paseczku tutaj kliknąć. I teraz tak, chciałabym żeby pan tak na razie szybkim rzutem oka przejrzał tę prezentację tak zupełnie swobodnie. Powiedział mi…"
MW_SSH_05,,,,Komentując czy?
MW,,,,"Można, jak najbardziej. Komentowanie jest bardzo mile widziane. Komentując wszystko, co pan widzi, do czego ta prezentacja może służyć, czy ona jest raczej ładna, czy nieładna, czy neutralna, wszystko co się panu rzuci w oczy tak na pierwszy rzut oka."
MW_SSH_05,,,,"Na pierwszy rzut oka na pewno jest bardzo... taka łysa. Na pewno bardzo mało jest… Mało estetyczna przynajmniej mi się wydaje. Nie ma żadnych, ani żadnego szablonu użytego. Co jest takim myślę, że minimum przy robieniu prezentacji. No też sam tekst nie jest jakoś dobrze, czy dobrze? Wydaje mi się, że nie jest dobrze jak są spacje różnego, różnej wielkości na pewno. No jest też, myślę, że na jednych slajdach na pewno jest, na pewno będzie bardzo information overload, bo jest za dużo na każdym slajdzie tekstu. Przynajmniej z tego co z zajęć pamiętam, nieodpowiednia ilość tekstu do elementów takich wizualnych. Teraz tak przejdę treści, bo to takie pierwsze przemyślenia."
MW,,,,"To możemy sobie iść tak od początku prezentacji albo w jakimkolwiek innym też układzie, jak panu by odpowiadał. Generalnie naszym celem jest obejrzenie sobie tych wszystkich slajdów i w miarę możliwości udzielanie odpowiedzi na te pytania, które tutaj zostały na karteczce wyróżnione. One są przypisane do poszczególnych slajdów. I zaczynamy od trzech takich slajdów, do których tutaj nie ma pytań, one raczej zawierają takie objaśnienia."
MW_SSH_05,__S1__,,,Ok…
MW,,,,Te informacje na pierwszym slajdzie były zrozumiałe? Wiedział pan co tam się znajduje?
MW_SSH_05,,,,"Myślę, że... Tak, chociaż nie jestem do końca pewien, czemu odpowiada XAI? (ns - 00:05:56) czy..."
MW,,,,"Ja tu nic nie mogę podpowiadać, ja tu tylko dzisiaj potakuję i pochrumkuję."
MW_SSH_05,,,,"Czyli nie mogę spytać o zrozumienie tego skrótu, właśnie tego rozwinięcia skrótu mi trochę brakuje. Będzie jakby cała nazwa po polsku, ale jak jest skrót, skrót jest po angielsku, więc fajnie jest zawsze jak można zobaczyć od jakiego słowa jest to. Może nie będę musiał sprawdzać tego linku, myślę."
MW,__S2__,,,"Czy ta informacja o tym właśnie skąd zbiór danych pochodzi, co tu się znajduje, czy to jest jakoś istotne dla pana?"
MW_SSH_05,,,,"Szczerze, skąd pozyskane są informacje dla mnie jako użytkownika, nie wiem czy są aż takie. Miło, że są, zawsze można ominąć. Wolę, żeby były niż ich nie było. Chociaż nie mówią mi jakoś dużo."
MW,__S3__,,,"A to, co jest taką pogrubioną czcionką, czy ta informacja jakoś, wie pan do czego ona się może przydać potem w dalszej części interpretacji?"
MW_SSH_05,,,,"Zawęża zakres grzybów, które zostały badane z tego co przeczytałem. Zbadano tylko te, które są tutaj, mające trzon i hymenofor blaszkowy."
MW,,,,Co to jest ten hymenofor? Czy pan wie?
MW_SSH_05,,,,"To nie jest wyjaśnione, też nie jestem jakimś specjalistą, jeśli chodzi o grzyby, bardziej się (anonimizacja) interesuje. Część danych będą symulacyjne, hipotetyczne, (ns - 00:07:55), ok. Czyli nie wszystkie dane są na podstawie obserwacji z przyrody."
MW,__S4__,,,Co się tutaj znajduje na tym slajdzie?
MW_SSH_05,,,,"Ok, na pewno brakuje mi trochę legend do czego są te liczby, czy to jest do ilości okazów, czy jakaś inna statystyka, ale zakładam, że to jest po prostu ilość wpisów czy rekordów trujących i jadalnych. Zakładam, że tak na wszystkich jest nieopisanych, że to są po prostu ilość różnych rodzajów grzybów."
MW,,__Q1__,,Czy ten sposób przyrastania blaszek jest tutaj jasny? Mógłby pan ten wykres spróbować zinterpretować?
MW_SSH_05,,,,"Sposób przyrastania blaszek do trzonu. Myślę, że jestem w stanie sobie to wyobrazić, jak to wygląda na grzybie."
MW,,,,Co z tego wynika?
MW_SSH_05,,,,"Na pewno z mojej perspektywy wszystkie wykresy, na których jest brak danych prawie tak samo duży jak najczęściej występujące cecha, są trochę niezbyt potrzebne czy dobre, bo jednak jak jest aż tyle, jak tu jest brak danych, to mówi, że w sumie nie mamy tych danych, jak tu na przykład w tym powierzchni kapelusza jest więcej niż, tak tyle samo, co wszystkich innych razem."
MW,,,,Skąd się może ten brak danych brać? Jak pan to interpretuje?
MW_SSH_05,,,,"Jakbym miał strzelać, to byłyby te rekordy sztuczne. Możliwe, że… Jak jest jakiś grzyb, to musi mieć jakąś powierzchnię kapelusza. W sumie chyba, że nie ma kapelusza. Nie wiem, czy to się liczy jako kapelusz, jak są te takie grzyby, co rosną na drzewach, tak? Bez trzonów, tylko tak od razu z drzewa, takie płaty rosną. To nie wiem, czy to się liczy jako kapelusz, czy… No też są. W sumie są grzyby bez kapelusza, więc..."
MW,,,,"Mhm, czy coś jeszcze z tego slajdu możemy wyczytać?"
MW_SSH_05,,,,"Co jeszcze? Na pewno, myślę, że… Znaczy, to co mnie zwróciło moją uwagę, to na pewno ta zmiana koloru kapelusza jest bardzo istotna według tego, czy bardzo istotna, no może nie mówi nic o istotności tylko mówi, czy puszcza, czy nie puszcza mleczka. To nie jest powiązane z jadalnością. To mój błąd. Myślę, że rzeczywiście niektóre nie są podzielone na kapelusz i trzon, tylko są jako jedna masa. To jest też podstawa trzonu i jest większość bez trzonu tak naprawdę. To widocznie moje błędne… Słowa… Błędne wnioski wyciągnąłem na początku. Nie wiem czy coś jeszcze mogę wyciągnąć."
MW,,,,"Może pan tu swobodnie sobie przechodzić do następnego slajdu w momencie, w którym pan czuje, że już po prostu z tym slajdem skończył. Wszystko powiedział, co miał na jego temat do powiedzenia."
MW_SSH_05,,,,"Ok, też tak myślę. Według wykresu wszystkich rekordów będzie około 70 000 około powiedzmy 70, 60, 70 coś tysięcy, mam takie wrażenie, że nie wszystkie grzyby są ujęte w każdym wykresie, bo tu się dodaje do sześćdziesięciu (ns - 00:12:43), ha, a ja (anonimizacja), a nie, dobra. Nie wiem czemu miałem takie wrażenie, że się nie dodają do takiej samej ilości, ale to może moje takie wrażenie. Może dlatego, że jest mało przegródek między tym i jest takie, zastanawiasz się, czy to by się dodawało do tyle samo, co jest na innym slajdzie."
MW,__S5__,,,Przeszliśmy do kolejnego slajdu.
MW_SSH_05,,,,Pytanie było.
MW,,,,"Tak, to ja już je zadałam. Po cichutku to było to o przyrastanie blaszek. Teraz jesteśmy na slajdzie piątym i będziemy się zastanawiać nad typem siedliska przede wszystkim."
MW_SSH_05,,,,"Ok. Siedliska. Powierzchnia trzonu jest jak już… To jak wcześniej, mogę cofnąć slajd? Tak jak w podstawie trzonu jest, potwierdza się moje założenie, że po prostu większość rekordów nie ma tego trzonu lub kapelusza. Kolor. Dominuje biały i brązowy. Typ hymenoforu, który wciąż jest zagadką. Wiemy, że ma zasnówki na pewno, albo może nie. To jest ciekawe, bez zasnówki. Nie ma rekordu, że z zasnówką. Tak logicznie mi się wydaje, że albo z bez, albo z, więc nie wiem, czy albo nie istnieją, jakby nie istniały grzyby z zasnówką, to by przecież nie było rekordu, że bez zasnówki. Ale to jest brak danych, więc myślę, że coś."
MW,,,,"Jak pan widzi taki wykres właśnie, gdzie coś nam tak się jakoś nie zgadza. To jak wpływa na pana poziom takiego zaufania do tych wykresów?"
MW_SSH_05,,,,"Jeden wykres nie dyskryminuje moim zdaniem innych, ale jest to taki punkt, gdzie zatrzymuję się, zastanawiam, czy ja czegoś nie rozumiem, czy są błędne dane. Bo jednak już było wspomniane, że… nie wiem czy dokładnie było wspomniane jaka część bazy jest sztuczna. Zbiór danych (ns - 00:15:03) ponad 60 tysięcy. Część danych to symulacyjne. Czyli teorety… Pytanie, czy nie są… Jaka część z tych 60 bo tam się dodają na wykresach do 60 tysięcy około, więc nie wiem czy część została podstawiona, czy te dodane są do tych 60 tysięcy, to taka niewiadoma dla mnie, ale (ns - 00:15:35), że połowa jest jako dane symulacyjne, żeby nie były wszystkie realne grzyby, to rozumiem, ale tam może być przy takich informacjach może być jeden dodany. Część danych, nie wiem jaka część danych. Nie wiem czy jest spowodowane takie coś w tym, że nie orientuje się aż tak dobrze w grzybach, czy w tym, że zbyt duża część została jakby wygenerowana rekordów i po prostu nie wygenerowało tej informacji jednej."
MW,,,,A co z tym typem siedliska?
MW_SSH_05,,__Q2__,,"Typem siedliska. Gdzie to jest? Siedlisko. No widać na pewno, że dominują lasy. Mam wrażenie, że w siedlisku jest uwzględnione, bo dodaje się mniej więcej do 60 myślę. Jest uwzględnione tylko najpopularniejsze siedlisko występowania, bo wiem, że wiele grzybów na różnych siedliskach może się rozwijać. Więc myślę, że zostało ustawione tylko to najpopularniejsze. Co do reszty. Typ hymenoforu… Ok, myślę, że na pewno ten kolor hymenoforu, ten brak danych dzieli razem z tym typem i że uwzględnione są nawet grzyby, które nie mają tego hymenoforu myślę albo jest brak danych, ten brak danych się przenosi na inne, więc nie wiem czy to w ogóle jest potrzebny ten brak danych, bo wiemy, że jeśli mówimy o kolorze, to mówimy tylko o tych, które mają. Może to być tylko moje wrażenie. Przesunę to, bo (ns - 00:17:51) trochę. Pora roku to zgaduję, że pora roku, no pączkowanie, nie wiem czy pączkują grzyby, jak się mówi na… rosną."
MW,,,,Zwracał pan kiedyś na to uwagę? Że pora roku jakoś się ma do grzybów?
MW_SSH_05,,,,"Na pewno tak, bo tylko w niektórych, jak to się nazywały, purchawki, te grzyby, te które tak pęcznieją i potem wypuszczają zarodniki jak się czy nadepnie, czy przebiją się, bo same pękają po jakimś czasie nawet. Zauważyłem, że ona ma tylko, pamiętam dokładnie czy na wiosnę czy w jesieni, ale tylko wtedy u nas tam rosły. Więc no wiem, że bardzo od pory roku są zależne. Wszystkie pytania."
MW,__S6__,,,"Tak, wszystkie pytania. Mamy tutaj statystyki opisowe. Jakby się pan przyjrzał i spróbował powiedzieć, co z tych danych wynika."
MW_SSH_05,,,,"Dużo danych, nieopracowane, moim zdaniem przedstawione bardzo zbite takie. No nie jest to graficznie ładnie przedstawione z mojej perspektywy, to jest takie opisowe, średnica kapelusza, wysokość trzonu, szerokość trzonu, liczba średnia, odchylenie standardowe, minimum, mediana, maximum, czyli rekordów mamy, okej, bo ilość rekordów jest tyle samo co, czyli została część podstawiona z tych. W takim razie."
MW,,,,"Mhm, to coś rozjaśniło tutaj?"
