speaker_id,slide_id,question_id,problem_id,text
DR,,,,"Wygląda na to, że."
DR,,,,"Nagrywanie i Transkrypcja zostały ustawione poprawnie włączam również nagrywanie na telefonie w trybie wideo, natomiast."
DR,,,,"Dźwięk będzie wycięty i w ogóle pana tutaj nie będzie widać. Zminimalizuje okno teamsa, żeby panu nie przeszkadzało i zapraszam teraz tutaj na to miejsce."
DR,,,,Proszę sobie swobodnie usiąść. Może Pan sobie przygotować wodę do picia jeżeli ma pan taką potrzebę?
DR,,,,"I w tym, jak mówiłam, w każdym momencie możemy zrobić przerwę. Może pan też przerwać badanie w dowolnym momencie dla siebie. Nasze badanie będzie składało się z 3 części, w trakcie których będę prosiła o to, żeby pan głośno mówił głośno opowiadał o tym, co pan myśli i co pan robi w danym momencie. Tutaj mamy prezentację testową. Podobna prezentacja będzie również na podobnej prezentacji będzie pan pracował, ale będzie ona znacznie dłuższa i będzie zawierała"
DR,,,,"Te właściwe materiały do badania. Jak pan może zobaczyć na prezentacji testowej mamy taki Czarny slajd na końcu, który jest nam potrzebny do tego, żeby przeniósł pan w razie potrzeby te slajdy, które zawierają treści albo zbędne, albo nie takie jak potrzeba pana zdaniem."
DR,,,,Poniżej slajdu mamy udostępniany tryb notatek. Tam mamy wpisane włóczykij i tak dalej i tak dalej.
DR,,,,"Z tego trybu notatek może pan korzystać na tej właściwej prezentacji. Jeżeli by się pojawiły jakieś uwagi, zakładam, że zna pan działanie powerpoint, a dlatego teraz bardzo proszę tak bardzo, bardzo testowo o przeniesienie wybranego slajdu za Czarny slajd."
DR,,,,"Super, może pan dopisać też coś do notatek, które pan widzi."
DR,,,,Cokolwiek.
DR,,,,Super dokładnie tak to działa. Bardzo proszę o zamknięcie tej prezentacji oraz nie zapisywanie zmian. Dokładnie tak.
DR,,,,"Świetnie i teraz poproszę o chwilkę skupienia, dlatego, że wyjaśnię dokładnie, na czym będzie polegało nasze badanie. Pozwolę sobie to tutaj odczytać, dlatego, że mamy przygotowany opis, żeby było wszystko tak jak trzeba. Załóżmy, że korzysta Pan z aplikacji, która ułatwia odróżnianie grzybów jadalnych od niejadalnych bądź też trujących i teraz podpowiedzi tej aplikacji są wynikiem przetwarzania przez sztuczną inteligencję zbioru danych o grzybach."
DR,,,,"Zobaczy pan kilka wizualizacji, które objaśniają sposób działania modelu sztucznej inteligencji i będę prosić pana o zinterpretowanie i ocenę użyteczności tych objaśnień w trakcie odpowiadania proszę o głośne mówienie, co pan widzi myśli czuje, co się panu podoba, co się nie podoba i teraz puścimy fragment Przykładowej Werbalizacji, żeby było panu łatwiej wczuć się w to zadanie, poproszę o otwarcie pliku, której znajduje się na drugim monitorze i tam mamy."
DR,,,,"Sam to dokładnie to i proszę posłuchać, jak tam na stronie u Pol koniu Konwentu, który odbył się w Warszawie i chciałabym zobaczyć sobie program i i zarejestrować się."
DR,,,,Więc.
DR,,,,Wzięły się.
DR,,,,No i mam bloki Programowe.
DR,,,,klikam
DR,,,,Wygląda pani pionowe wejście?
DR,,,,"Zwłaszcza, że są miejsca, w których tylko się odbywa, więc wydaje mi się, że jest to bardzo przydatna informacja."
DR,,,,Oprócz tego mogę wyjść jeszcze z menu w lista atrakcji.
DR,,,,Przerzuciło mnie gdzie indziej.
DR,,,," Nie podoba mi się to, bo nie wiem czy nadal jestem na tej samej stronie, bo jest w innym kolorze zupełnie ."
DR,,,,No ale generalnie tam są atrakcje po kliknięciu w konkretnych blok.
DR,,,,Wracam.
DR,,,,I mam jeszcze coś takiego jak tabela programowa.
DR,,,,To wyświetla się plik w pdf.
DR,,,,Wygląda na skomplikowany.
DR,,,,"Średnio czytelny, ale, ale nie przyglądam się dokładnie, więc więc nie, nie Jestem w stanie dokładnie ocenić."
DR,,,,Wracam z powrotem i próbuje się zarejestrować klikam w rejestracjach.
DR,,,,A.
DR,,,,"I wyświetlają się, że połączenie jest nie zaufane."
DR,,,,I jak dobrze zrozumiem zagrożenia lub zajmujące.
DR,,,,I przechodzę w rejestrację.
DR,,,, Rejestracja jest już zamknięta.
DR,,,,No dosyć logiczne jak to było  było rok temu.
DR,,,,Mogą to zrobić prywatnie z tego co widzę.
DR,,,,No szkoda.
DR,,,,"Dobrze, proszę o zamknięcie plik. "
DR_SSH_04,,,,"Czyli będę musiał wysyłać  wszystko, co robię i wszystko "
DR,,,,"tak od czasu do czasu, jeżeli będą bardzo długie chwile milczenia, będę panu przypominać, bo to jest zupełnie naturalne, że czasem robimy, a nie mówimy, więc będę panu przypominać o tym, żeby mówić ."
