speaker_id,slide_id,question_id,problem_id,text
MW,,,,"I żeby sobie troszkę to poćwiczyć, to mamy tutaj w prawym górnym rogu na komputerze taki folder, który nazywa się TabTest, można sobie tam wejść."
MW_IT_06,,,,"Mam takie jeszcze pytanie, bo kiedy będę, dla mnie (anonimizacja), to może, jeżeli angielskie trochę będę wykorzystać (ns - 00:01:02)."
MW,,,,"Jasne, nie ma żadnego problemu. "
MW_IT_06,,,,Dobrze.
MW,,,,"I teraz przechodząc właśnie do tego naszego protokołu, o którym mówiłam na początku, można sobie tutaj otworzyć taką przykładową prezentację w PowerPoincie. To jest zwykły plik taki, z jakim pani pewnie miała gdzieś do czynienia. Będziemy pracować na prezentacji właśnie multimedialnej i będziemy wykonywać na niej różne operacje, na przykład dodanie slajdu, odjęcie jakiegoś slajdu, zmiana kolejności slajdu. Więc jeśli chciałaby sobie pani takie operacje poćwiczyć, to można sobie właśnie otworzyć ten testowy plik w PowerPoincie i po prostu się pobawić albo sobie przypomnieć, jak się takie rzeczy robi. I jeśli to jest rzecz znana, no to jakby nie ma potrzeby. Ale można sobie właśnie zmienić kolejność slajdu, czy tam nie wiem, dodać jakiś komentarz, dodać slajd, to jest taka przykładowa prezentacja testowa."
MW_IT_06,,,,"Dobrze rozumiem. Myślę, że teraz..."
MW,,,,"Jak jest to jasne, to możemy sobie zamknąć. I ten plik dźwiękowy, który tu się znajduje w folderze, on pokazuje taką sesję, jak ta, którą my będziemy odbywać. Czyli mamy tutaj nagranie użytkowniczki, która po prostu opowiada o różnych swoich odczuciach. I też można sobie fragmencik odsłuchać, żeby pani wiedziała mniej więcej, czego się spodziewać i jak taka sesja myślenia głośnego wygląda. To można sobie tutaj na wzór odtworzyć."
MW_IT_06,,,,"[odtwarzanie nagrania]. Mam takie pytanie, to mogę po tym, ten wideo mówić coś, czy muszę to odsłuchać i później wiesz…"
MW,,,,"Tylko kawałeczek sobie pani odsłuchuje, tak żeby wiedzieć o co chodzi. Bo to na razie nie jest nasze badanie, tylko takie wprowadzenie, żeby pani wiedziała czego się spodziewać."
MW_IT_06,,,,[odtwarzanie nagrania cd.]
MW,,,,Wiadomo o co chodzi w takim głośnym myśleniu?
MW_IT_06,,,,"Tak, ja myślę, że to pani próbuje włączyć ten software i tam jest jakiś bloki do otwierania tego programu, literackie jakieś zbyt dobre."
MW,,,,"To był tylko taki przykład, będziemy coś innego badać, ale chodziło o to, jak ona tutaj opowiada o swoich uczuciach, prawda? Że mówi co widzi, co robi, co klika, co myśli."
MW_IT_06,,,,"A dobrze, ja tak samo muszę…"
